id,class_slug,text,substitution,app,ignore_case,note,position,created_at
01a2c8b4-20e7-4978-96b2-56d1576bbaed,chem113,q_solution,q of solution,All Apps,Yes,heat absorbed by the solution with underscore,139,2026-06-01 21:37:56.386666+00
03759b81-1b47-415a-96b4-e0a00cbb2fbd,chem113,cH₂O,c of H two O,All Apps,Yes,specific heat capacity variable for water with unicode subscripts,22,2026-06-01 21:37:56.386666+00
03d4d9ce-903e-4718-8cd3-b77165d00e98,chem113,T₁,T of 1,All Apps,Yes,starting temperature variable with Unicode subscript,69,2026-06-01 21:37:56.386666+00
075da458-7525-4403-b4a7-3d26b1af0489,chem113,RCS,R C S,All Apps,Yes,Reaction Control System acronym,128,2026-06-01 21:37:56.386666+00
10c7807b-cd6d-45d9-9b6e-eb26166306ad,chem113,NaCl,sodium chloride,All Apps,Yes,sodium chloride formula,42,2026-06-01 21:37:56.386666+00
11b83b39-98a2-4f21-b1da-b63e93ed6b05,chem113,q꜀ₐₗₒᵣᵢₘₑₜₑᵣ,q of calorimeter,All Apps,Yes,fallback for stylized subscript calorimeter if exposed as unicode,137,2026-06-01 21:37:56.386666+00
15702ada-4490-4a5b-b4e2-721354677f5d,chem113,DI,D I,All Apps,Yes,deionized abbreviation,20,2026-06-01 21:37:56.386666+00
1571804b-d16c-478a-9a62-8b683c03cc01,chem113,H₂,H two,All Apps,Yes,hydrogen molecule,26,2026-06-01 21:37:56.386666+00
1620b68a-de42-4820-8c21-440d9b035256,chem113,2Na + Cl2 -> 2NaCl,two sodium plus C L two yields two sodium chloride,All Apps,Yes,plain-text sodium chloride reaction,62,2026-06-01 21:37:56.386666+00
1621844c-dead-4fc8-b2b8-e53b349818cd,chem113,Na⁺,sodium ion,All Apps,Yes,sodium ion,46,2026-06-01 21:37:56.386666+00
1711607e-19f5-43ab-9c90-39ade3b0f75e,chem113,Cl⁻,chloride ion,All Apps,Yes,chloride ion,48,2026-06-01 21:37:56.386666+00
1726cca8-4707-40f4-b65b-8cee02a426e8,chem113,O-H,O single bond H,All Apps,Yes,plain-text oxygen hydrogen single bond,107,2026-06-01 21:37:56.386666+00
1783c279-a8b9-4bd0-9190-993aefdfd84c,chem113,HCl,H C L,All Apps,Yes,hydrochloric acid formula,38,2026-06-01 21:37:56.386666+00
189b9e90-12e6-4b3a-b433-4531e0a83aac,chem113,Effective heat capacity (J/°C),Effective heat capacity in jools per degree Celsius,All Apps,Yes,full phrase with heat capacity unit,1,2026-06-01 21:37:56.386666+00
1a539b91-08e3-4a51-9c66-62d3194681dd,chem113,mol/L⁻¹,moles per liter,All Apps,Yes,molarity unit with inverse exponent,114,2026-06-01 21:37:56.386666+00
1b61fbf7-2a95-40a1-8381-f312a27045f7,chem113,1:2,one to two,All Apps,Yes,ratio notation,51,2026-06-01 21:37:56.386666+00
1c5dfb6b-036f-4c33-98cd-837bb4573d24,chem113,C₈H₁₈,C eight H eighteen,All Apps,Yes,isooctane formula with Unicode subscripts,90,2026-06-01 21:37:56.386666+00
1f0708a3-ddb1-41ed-b0ba-f4a52b22243e,chem113,ΔH,delta H,All Apps,Yes,enthalpy change symbol,66,2026-06-01 21:37:56.386666+00
20484be8-0661-4baf-9be0-1b485f12b6b7,chem113,mg,milligrams,All Apps,Yes,milligram symbol,15,2026-06-01 21:37:56.386666+00
20959b6d-8a32-4cf1-ba46-a9ddce66549f,chem113,J/g°C,jools per gram degree Celsius,All Apps,Yes,specific heat capacity unit,3,2026-06-01 21:37:56.386666+00
219c1bf5-d45b-466f-82c4-374da3dbbdfa,chem113,2H2 + O2 -> 2H2O,two H two plus O two yields two H two O,All Apps,Yes,plain-text reaction,56,2026-06-01 21:37:56.386666+00
271078c7-2fb4-415e-91fa-c4fc2abc491f,chem113,kilojoule,kiloh jool,All Apps,Yes,phonetic reading of kilojoule,124,2026-06-01 21:37:56.386666+00
2a7d14e6-1b6d-41d7-b0c4-342104b7f580,chem113,H3C,H three C,All Apps,Yes,plain-text methyl group notation,94,2026-06-01 21:37:56.386666+00
2a7e28f7-cd84-4281-ae29-d1fa07b359fb,chem113,Ccalorimeter,capital C of calorimeter,All Apps,No,plain-text heat capacity of the calorimeter,142,2026-06-01 21:37:56.386666+00
2ae4da96-945e-4e5a-a045-baca2d979256,chem113,cm3,cubic centimeters,All Apps,Yes,plain-text volume unit,121,2026-06-01 21:37:56.386666+00
2bc1bb67-f326-427d-bd8f-d5303dc35431,chem113,H₂O,H two O,All Apps,Yes,water formula,32,2026-06-01 21:37:56.386666+00
327aec53-bfd8-4b2c-b6dd-7cb3f66368fe,chem113,kg,kilograms,All Apps,Yes,kilogram symbol,14,2026-06-01 21:37:56.386666+00
34c3b008-7998-46f0-91f4-e047bb3d3b6b,chem113,H2O2,H two O two,All Apps,Yes,plain-text hydrogen peroxide formula,33,2026-06-01 21:37:56.386666+00
364d187c-fd8f-4530-abbc-0ecc0bbe86f9,chem113,H2O,H two O,All Apps,Yes,plain-text water formula,31,2026-06-01 21:37:56.386666+00
3dae0f45-781c-44d4-8ea1-fe8311c6585d,chem113,O2,O two,All Apps,Yes,plain-text oxygen molecule,27,2026-06-01 21:37:56.386666+00
3ee1d1fe-6f48-4551-950c-b09c1d7bba6f,chem113,g/L,grams per liter,All Apps,Yes,concentration unit,116,2026-06-01 21:37:56.386666+00
4018883d-1273-4e5c-b71c-f4fcac346dc3,chem113,kJ,killuh jools,All Apps,Yes,"kilojoule symbol, phonetic reading",12,2026-06-01 21:37:56.386666+00
4019184e-1103-4eb9-b0e1-bbcfba4ff5e7,chem113,m³,cubic meters,All Apps,Yes,volume unit,122,2026-06-01 21:37:56.386666+00
41bc4137-f63d-4483-b8db-9506b545d83e,chem113,CH₃,C H three,All Apps,Yes,methyl group notation with Unicode subscript,97,2026-06-01 21:37:56.386666+00
43103c34-3799-43fc-80a9-503ab2a77399,chem113,H₃C,H three C,All Apps,Yes,methyl group notation with Unicode subscript,95,2026-06-01 21:37:56.386666+00
43480886-f4b0-43c1-becf-979d93b56680,chem113,DI water,D I water,All Apps,Yes,deionized water abbreviation,19,2026-06-01 21:37:56.386666+00
4368ead4-f116-4936-b1e5-1217ec4d19d8,chem113,J/°C,jools per degree Celsius,All Apps,Yes,heat capacity unit,2,2026-06-01 21:37:56.386666+00
43de47f0-417d-4f4e-bdbc-8a82c01156fe,chem113,H2,H two,All Apps,Yes,plain-text hydrogen molecule,25,2026-06-01 21:37:56.386666+00
4438eb95-051b-4f10-8f23-eff3dc42bb08,chem113,mL,milliliters,All Apps,Yes,milliliter symbol,74,2026-06-01 21:37:56.386666+00
